received_at_unix_s,received_at_monotonic_s,run_id,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,applied_velocity_feedforward_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,command_saturated,actuator_fault
1784742959.553383,386127.9908685,0,0,0,0,57.75250244140625,0.7760000228881836,-1.9586879014968872,4.186734199523926,-7.031318664550781,-1.9586879014968872,6.317487239837647,4.186734199523926,69.05037689208984,0.0,0.0,64.6766586303711,-153.60609436035156,76.73812866210938,-0.5837031602859497,-1.4111608266830444,-0.0361759662628173,-1.9948638677597048,-1.9949777126312256,-6.181711673736572,69.05037689208984,69.05037689208984,0.0,0.0,2.500999927520752,0.0,-8166,-8400,False,False
1784742959.5553064,386127.9927421,0,0,0,0,57.755001068115234,0.8740000128746033,-1.945666790008545,5.690579891204834,-11.711274147033691,-1.945666790008545,5.836238384246826,5.690579891204834,93.86245727539062,0.0,0.0,64.6766586303711,-153.60609436035156,72.84257507324219,-0.5837031602859497,-1.4111608266830444,-0.0491971373558044,-1.9948638677597048,-2.7124242782592773,-8.403003692626953,93.86245727539062,93.86245727539062,0.0,0.0,2.499000072479248,2.499000072479248,-8166,-8400,False,False
1784742959.5571735,386127.9946606,0,0,0,0,57.75749969482422,0.975000023841858,-1.933018922805786,5.334019660949707,-12.510734558105469,-1.933018922805786,5.232489585876465,5.334019660949707,93.60398864746094,0.0,0.0,64.6766586303711,-153.60609436035156,71.06587982177734,-0.5837031602859497,-1.4111608266830444,-0.0618450120091438,-1.9948638677597048,-3.045844316482544,-8.379863739013672,93.60398864746094,93.60398864746094,0.0,0.0,2.499000072479248,4.998000144958496,-8166,-8400,False,False
1784742959.561573,386127.9990591,0,0,0,0,57.7599983215332,1.0750000476837158,-1.918775200843811,6.465149879455566,-10.947449684143066,-1.918775200843811,6.571236610412598,6.465149879455566,113.85711669921876,0.0,0.0,64.6766586303711,-153.60609436035156,73.85245513916016,-0.5837031602859497,-1.4111608266830444,-0.0760886967182159,-1.9948638677597048,-3.7278683185577393,-10.193017959594728,113.85711669921876,113.85711669921876,0.0,0.0,2.499000072479248,2.496999979019165,-8166,-8400,False,False
1784742959.5643525,386128.0018389,0,0,0,0,57.76251602172852,1.190999984741211,-1.9036048650741575,7.11570405960083,-5.006612300872803,-1.9036048650741575,7.481235027313232,7.11570405960083,19.671579360961918,0.0,0.0,0.0,-73.85245513916016,75.1293716430664,-0.2806393206119537,-1.4111608266830444,0.2118048071861267,-1.6918001174926758,5.354612827301025,-1.7610913515090942,19.671579360961918,19.671579360961918,200.0,200.0,2.5169999599456787,0.0140000004321336,-8166,-8400,False,False
1784742959.5663238,386128.0038099,0,0,0,0,57.76499938964844,0.0700000002980232,-1.8812477588653564,6.326897144317627,-3.078922271728516,-1.8812477588653564,6.063737869262695,6.326897144317627,17.089738845825195,0.0,0.0,0.0,-73.85245513916016,75.70360565185547,-0.2806393206119537,-1.4111608266830444,0.1894476264715194,-1.6918001174926758,4.796944618225098,-1.529952883720398,17.089738845825195,17.089738845825195,200.0,200.0,2.484999895095825,2.499000072479248,-8166,-8400,False,False
1784742959.569486,386128.0069709,0,0,0,0,57.76749801635742,0.1700000017881393,-1.8766120672225952,1.791101574897766,13.070096015930176,-1.8766120672225952,0.5512489080429077,1.791101574897766,-42.05167007446289,0.0,0.0,0.0,-73.85245513916016,86.32976531982422,-0.2806393206119537,-1.4111608266830444,0.1848119646310806,-1.6918001174926758,5.55576229095459,3.764660835266113,-42.05167007446289,-42.05167007446289,-0.0,-0.0,2.499000072479248,0.0,-8165,-8399,False,False
1784742959.569674,386128.0071621,0,0,0,0,57.77000045776367,0.2730000019073486,-1.8753809928894043,2.211761951446533,3.799171209335327,-1.8753809928894043,3.701242446899414,2.211761951446533,-35.97306442260742,0.0,0.0,0.0,-73.85245513916016,91.1787109375,-0.2806393206119537,-1.4111608266830444,0.1835809499025344,-1.6918001174926758,5.4322381019592285,3.2204761505126958,-35.97306442260742,-35.97306442260742,-0.0,-0.0,2.500999927520752,2.500999927520752,-8165,-8399,False,False
1784742959.575374,386128.0128586,0,0,0,0,57.772499084472656,0.3709999918937683,-1.8756121397018437,-0.3427881002426147,-12.376670837402344,-1.8756121397018437,-1.6099967956542969,-0.3427881002426147,-70.29719543457031,0.0,0.0,0.0,-73.85245513916016,72.66656494140625,-0.2806393206119537,-1.4111608266830444,0.1838120818138122,-1.6918001174926758,5.950544357299805,6.293332099914551,-70.29719543457031,-70.29719543457031,-0.0,-0.0,2.499000072479248,0.0,-8165,-8399,False,False
1784742959.5757127,386128.0131998,0,0,0,0,57.775001525878906,0.4679999947547912,-1.877192139625549,-0.665732204914093,6.461141109466553,-1.877192139625549,-0.9537480473518372,-0.665732204914093,-75.19070434570312,0.0,0.0,0.0,-73.85245513916016,64.21463775634766,-0.2806393206119537,-1.4111608266830444,0.1853919923305511,-1.6918001174926758,6.065690040588379,6.731422424316406,-75.19070434570312,-75.19070434570312,-0.0,-0.0,2.503000020980835,2.503000020980835,-8165,-8399,False,False
