Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.172m/s, acc_y=-0.370m/s, acc_z=10.080m/s, gyrv_x=-0.271°/s, gyrv_y=-0.044°/s, gyrv_z=0.262°/s, time=7500.124
acc_x=-0.153m/s, acc_y=-0.383m/s, acc_z=10.063m/s, gyrv_x=-0.079°/s, gyrv_y=-0.114°/s, gyrv_z=0.359°/s, time=7500.125
acc_x=-0.160m/s, acc_y=-0.371m/s, acc_z=10.073m/s, gyrv_x=-0.166°/s, gyrv_y=-0.140°/s, gyrv_z=0.262°/s, time=7500.126
acc_x=-0.176m/s, acc_y=-0.392m/s, acc_z=10.080m/s, gyrv_x=-0.227°/s, gyrv_y=-0.192°/s, gyrv_z=0.271°/s, time=7500.128
acc_x=-0.144m/s, acc_y=-0.366m/s, acc_z=10.061m/s, gyrv_x=-0.140°/s, gyrv_y=-0.219°/s, gyrv_z=0.359°/s, time=7500.129
acc_x=-0.160m/s, acc_y=-0.360m/s, acc_z=10.070m/s, gyrv_x=-0.201°/s, gyrv_y=-0.245°/s, gyrv_z=0.219°/s, time=7500.130
acc_x=-0.157m/s, acc_y=-0.343m/s, acc_z=10.076m/s, gyrv_x=-0.131°/s, gyrv_y=-0.201°/s, gyrv_z=0.105°/s, time=7500.131
acc_x=-0.158m/s, acc_y=-0.360m/s, acc_z=10.079m/s, gyrv_x=-0.420°/s, gyrv_y=-0.254°/s, gyrv_z=0.070°/s, time=7500.132
acc_x=-0.160m/s, acc_y=-0.339m/s, acc_z=10.064m/s, gyrv_x=-0.227°/s, gyrv_y=-0.437°/s, gyrv_z=0.052°/s, time=7500.134
acc_x=-0.169m/s, acc_y=-0.345m/s, acc_z=10.080m/s, gyrv_x=-0.236°/s, gyrv_y=-0.516°/s, gyrv_z=-0.245°/s, time=7500.135
