Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.014m/s, acc_y=0.391m/s, acc_z=-9.698m/s, gyrv_x=-0.140°/s, gyrv_y=-0.455°/s, gyrv_z=-0.017°/s, time=7411.957
acc_x=-0.000m/s, acc_y=0.395m/s, acc_z=-9.686m/s, gyrv_x=-0.245°/s, gyrv_y=-0.507°/s, gyrv_z=0.079°/s, time=7411.958
acc_x=0.017m/s, acc_y=0.401m/s, acc_z=-9.687m/s, gyrv_x=-0.087°/s, gyrv_y=-0.236°/s, gyrv_z=-0.026°/s, time=7411.959
acc_x=-0.014m/s, acc_y=0.355m/s, acc_z=-9.690m/s, gyrv_x=0.166°/s, gyrv_y=-0.359°/s, gyrv_z=-0.096°/s, time=7411.961
acc_x=-0.013m/s, acc_y=0.386m/s, acc_z=-9.690m/s, gyrv_x=0.052°/s, gyrv_y=-0.394°/s, gyrv_z=-0.017°/s, time=7411.962
acc_x=-0.011m/s, acc_y=0.410m/s, acc_z=-9.687m/s, gyrv_x=-0.280°/s, gyrv_y=-0.472°/s, gyrv_z=-0.000°/s, time=7411.963
acc_x=0.031m/s, acc_y=0.396m/s, acc_z=-9.684m/s, gyrv_x=-0.061°/s, gyrv_y=-0.324°/s, gyrv_z=0.192°/s, time=7411.964
acc_x=-0.000m/s, acc_y=0.396m/s, acc_z=-9.684m/s, gyrv_x=-0.087°/s, gyrv_y=-0.394°/s, gyrv_z=0.149°/s, time=7411.966
acc_x=-0.008m/s, acc_y=0.379m/s, acc_z=-9.671m/s, gyrv_x=-0.087°/s, gyrv_y=-0.394°/s, gyrv_z=0.149°/s, time=7411.967
acc_x=-0.008m/s, acc_y=0.379m/s, acc_z=-9.671m/s, gyrv_x=-0.035°/s, gyrv_y=-0.429°/s, gyrv_z=0.017°/s, time=7411.968
acc_x=-0.014m/s, acc_y=0.383m/s, acc_z=-9.678m/s, gyrv_x=-0.009°/s, gyrv_y=-0.551°/s, gyrv_z=0.096°/s, time=7411.969
acc_x=-0.007m/s, acc_y=0.422m/s, acc_z=-9.686m/s, gyrv_x=-0.245°/s, gyrv_y=-0.472°/s, gyrv_z=0.192°/s, time=7411.970
acc_x=0.010m/s, acc_y=0.389m/s, acc_z=-9.697m/s, gyrv_x=-0.184°/s, gyrv_y=-0.420°/s, gyrv_z=0.140°/s, time=7411.971
acc_x=0.006m/s, acc_y=0.373m/s, acc_z=-9.684m/s, gyrv_x=-0.245°/s, gyrv_y=-0.551°/s, gyrv_z=0.192°/s, time=7411.973
acc_x=0.016m/s, acc_y=0.367m/s, acc_z=-9.686m/s, gyrv_x=-0.131°/s, gyrv_y=-0.280°/s, gyrv_z=0.044°/s, time=7411.974
acc_x=0.001m/s, acc_y=0.374m/s, acc_z=-9.683m/s, gyrv_x=-0.149°/s, gyrv_y=-0.437°/s, gyrv_z=0.210°/s, time=7411.975
acc_x=0.014m/s, acc_y=0.386m/s, acc_z=-9.703m/s, gyrv_x=-0.079°/s, gyrv_y=-0.464°/s, gyrv_z=0.227°/s, time=7411.976
acc_x=-0.008m/s, acc_y=0.377m/s, acc_z=-9.654m/s, gyrv_x=-0.017°/s, gyrv_y=-0.332°/s, gyrv_z=-0.009°/s, time=7411.977
acc_x=0.006m/s, acc_y=0.368m/s, acc_z=-9.705m/s, gyrv_x=-0.192°/s, gyrv_y=-0.464°/s, gyrv_z=0.079°/s, time=7411.979
acc_x=-0.023m/s, acc_y=0.368m/s, acc_z=-9.691m/s, gyrv_x=-0.079°/s, gyrv_y=-0.481°/s, gyrv_z=0.219°/s, time=7411.980
acc_x=0.007m/s, acc_y=0.388m/s, acc_z=-9.690m/s, gyrv_x=-0.026°/s, gyrv_y=-0.481°/s, gyrv_z=0.219°/s, time=7411.981
acc_x=-0.008m/s, acc_y=0.381m/s, acc_z=-9.675m/s, gyrv_x=-0.210°/s, gyrv_y=-0.446°/s, gyrv_z=0.122°/s, time=7411.982
acc_x=-0.008m/s, acc_y=0.381m/s, acc_z=-9.675m/s, gyrv_x=-0.289°/s, gyrv_y=-0.516°/s, gyrv_z=0.192°/s, time=7411.983
acc_x=0.011m/s, acc_y=0.361m/s, acc_z=-9.701m/s, gyrv_x=-0.289°/s, gyrv_y=-0.420°/s, gyrv_z=0.297°/s, time=7411.985
acc_x=-0.008m/s, acc_y=0.395m/s, acc_z=-9.687m/s, gyrv_x=0.017°/s, gyrv_y=-0.516°/s, gyrv_z=0.157°/s, time=7411.986
acc_x=-0.015m/s, acc_y=0.394m/s, acc_z=-9.698m/s, gyrv_x=-0.236°/s, gyrv_y=-0.499°/s, gyrv_z=0.079°/s, time=7411.987
acc_x=-0.002m/s, acc_y=0.400m/s, acc_z=-9.674m/s, gyrv_x=-0.350°/s, gyrv_y=-0.446°/s, gyrv_z=0.017°/s, time=7411.988
acc_x=0.017m/s, acc_y=0.361m/s, acc_z=-9.703m/s, gyrv_x=0.052°/s, gyrv_y=-0.455°/s, gyrv_z=0.271°/s, time=7411.990
acc_x=-0.010m/s, acc_y=0.376m/s, acc_z=-9.699m/s, gyrv_x=-0.525°/s, gyrv_y=-0.542°/s, gyrv_z=0.271°/s, time=7411.991
acc_x=-0.015m/s, acc_y=0.386m/s, acc_z=-9.686m/s, gyrv_x=-0.210°/s, gyrv_y=-0.455°/s, gyrv_z=0.017°/s, time=7411.992
acc_x=-0.004m/s, acc_y=0.392m/s, acc_z=-9.683m/s, gyrv_x=-0.044°/s, gyrv_y=-0.420°/s, gyrv_z=0.227°/s, time=7411.993
