Requested sampling_freq=416.000000; now=416.000000
Ism330IioReader::__start_thread__.
IIO IMU started at accel@iio:device1 + gyro@iio:device0
acc_x=3.807m/s, acc_y=-1.006m/s, acc_z=8.413m/s, gyrv_x=40.626°/s, gyrv_y=-65.030°/s, gyrv_z=-86.966°/s, time=7061.577
acc_x=0.243m/s, acc_y=1.415m/s, acc_z=7.335m/s, gyrv_x=-21.184°/s, gyrv_y=-66.605°/s, gyrv_z=-92.094°/s, time=7061.638
acc_x=3.062m/s, acc_y=-1.018m/s, acc_z=8.834m/s, gyrv_x=42.744°/s, gyrv_y=-20.615°/s, gyrv_z=-56.875°/s, time=7061.692
acc_x=3.526m/s, acc_y=2.802m/s, acc_z=11.883m/s, gyrv_x=76.282°/s, gyrv_y=-51.502°/s, gyrv_z=-54.967°/s, time=7061.747
acc_x=4.161m/s, acc_y=-2.590m/s, acc_z=10.162m/s, gyrv_x=54.049°/s, gyrv_y=-56.280°/s, gyrv_z=-158.182°/s, time=7061.800
acc_x=-8.984m/s, acc_y=-2.969m/s, acc_z=9.951m/s, gyrv_x=56.621°/s, gyrv_y=-61.285°/s, gyrv_z=-157.640°/s, time=7061.856
acc_x=-4.669m/s, acc_y=-0.538m/s, acc_z=6.275m/s, gyrv_x=48.414°/s, gyrv_y=-70.507°/s, gyrv_z=-141.216°/s, time=7061.914
acc_x=6.462m/s, acc_y=-0.359m/s, acc_z=15.705m/s, gyrv_x=49.324°/s, gyrv_y=-15.986°/s, gyrv_z=38.876°/s, time=7061.973
acc_x=11.894m/s, acc_y=-3.176m/s, acc_z=11.696m/s, gyrv_x=71.916°/s, gyrv_y=-45.640°/s, gyrv_z=-52.474°/s, time=7062.024
acc_x=2.155m/s, acc_y=5.061m/s, acc_z=13.811m/s, gyrv_x=95.471°/s, gyrv_y=-57.706°/s, gyrv_z=-140.227°/s, time=7062.073
acc_x=5.883m/s, acc_y=2.173m/s, acc_z=4.699m/s, gyrv_x=50.487°/s, gyrv_y=-49.516°/s, gyrv_z=-70.184°/s, time=7062.129
acc_x=2.088m/s, acc_y=1.579m/s, acc_z=12.464m/s, gyrv_x=72.284°/s, gyrv_y=-45.097°/s, gyrv_z=-139.475°/s, time=7062.190
acc_x=3.403m/s, acc_y=-1.848m/s, acc_z=9.846m/s, gyrv_x=49.805°/s, gyrv_y=-7.814°/s, gyrv_z=-74.279°/s, time=7062.250
acc_x=1.309m/s, acc_y=-3.656m/s, acc_z=11.449m/s, gyrv_x=-30.082°/s, gyrv_y=29.662°/s, gyrv_z=-42.376°/s, time=7062.308
acc_x=6.218m/s, acc_y=-1.753m/s, acc_z=8.521m/s, gyrv_x=90.842°/s, gyrv_y=-64.522°/s, gyrv_z=-164.797°/s, time=7062.355
acc_x=3.270m/s, acc_y=-6.845m/s, acc_z=13.323m/s, gyrv_x=51.607°/s, gyrv_y=-60.664°/s, gyrv_z=-168.516°/s, time=7062.411
acc_x=-0.668m/s, acc_y=7.330m/s, acc_z=10.506m/s, gyrv_x=82.302°/s, gyrv_y=-67.979°/s, gyrv_z=-130.865°/s, time=7062.471
acc_x=13.097m/s, acc_y=0.516m/s, acc_z=6.654m/s, gyrv_x=100.222°/s, gyrv_y=-36.741°/s, gyrv_z=-169.181°/s, time=7062.531
acc_x=0.794m/s, acc_y=-9.890m/s, acc_z=7.430m/s, gyrv_x=67.917°/s, gyrv_y=-48.965°/s, gyrv_z=15.041°/s, time=7062.592
acc_x=3.223m/s, acc_y=2.718m/s, acc_z=12.243m/s, gyrv_x=53.235°/s, gyrv_y=-57.426°/s, gyrv_z=19.311°/s, time=7062.646
acc_x=3.404m/s, acc_y=-2.073m/s, acc_z=2.085m/s, gyrv_x=86.397°/s, gyrv_y=-62.011°/s, gyrv_z=-78.120°/s, time=7062.700
acc_x=-4.829m/s, acc_y=9.772m/s, acc_z=13.495m/s, gyrv_x=33.329°/s, gyrv_y=-68.302°/s, gyrv_z=-129.920°/s, time=7062.757
acc_x=-2.717m/s, acc_y=7.113m/s, acc_z=11.268m/s, gyrv_x=48.291°/s, gyrv_y=-15.741°/s, gyrv_z=-58.975°/s, time=7062.817
acc_x=3.305m/s, acc_y=-1.336m/s, acc_z=15.907m/s, gyrv_x=67.847°/s, gyrv_y=-54.679°/s, gyrv_z=-139.081°/s, time=7062.870
acc_x=-2.601m/s, acc_y=-0.124m/s, acc_z=6.818m/s, gyrv_x=109.707°/s, gyrv_y=-71.146°/s, gyrv_z=-96.425°/s, time=7062.923
acc_x=12.309m/s, acc_y=0.281m/s, acc_z=10.226m/s, gyrv_x=47.311°/s, gyrv_y=-50.234°/s, gyrv_z=-100.100°/s, time=7062.984
acc_x=-7.536m/s, acc_y=-0.552m/s, acc_z=8.075m/s, gyrv_x=38.412°/s, gyrv_y=-46.392°/s, gyrv_z=-56.402°/s, time=7063.045
acc_x=-5.279m/s, acc_y=-8.221m/s, acc_z=10.116m/s, gyrv_x=-35.157°/s, gyrv_y=-61.294°/s, gyrv_z=-20.519°/s, time=7063.096
acc_x=-0.128m/s, acc_y=-11.742m/s, acc_z=6.639m/s, gyrv_x=-24.106°/s, gyrv_y=-58.021°/s, gyrv_z=-165.366°/s, time=7063.150
acc_x=-4.367m/s, acc_y=3.782m/s, acc_z=12.756m/s, gyrv_x=80.377°/s, gyrv_y=-53.961°/s, gyrv_z=-73.307°/s, time=7063.206
acc_x=6.985m/s, acc_y=-10.606m/s, acc_z=4.911m/s, gyrv_x=98.490°/s, gyrv_y=-43.251°/s, gyrv_z=-111.886°/s, time=7063.265
acc_x=-2.964m/s, acc_y=-0.928m/s, acc_z=10.447m/s, gyrv_x=37.310°/s, gyrv_y=-63.919°/s, gyrv_z=-109.401°/s, time=7063.326
acc_x=17.481m/s, acc_y=3.733m/s, acc_z=12.279m/s, gyrv_x=33.670°/s, gyrv_y=-62.291°/s, gyrv_z=-154.332°/s, time=7063.386
acc_x=-8.525m/s, acc_y=-6.212m/s, acc_z=7.429m/s, gyrv_x=61.259°/s, gyrv_y=-47.469°/s, gyrv_z=-109.769°/s, time=7063.445
acc_x=-2.931m/s, acc_y=-7.810m/s, acc_z=10.543m/s, gyrv_x=-17.920°/s, gyrv_y=32.051°/s, gyrv_z=-14.192°/s, time=7063.506
acc_x=-8.643m/s, acc_y=5.157m/s, acc_z=6.886m/s, gyrv_x=-28.621°/s, gyrv_y=10.657°/s, gyrv_z=8.304°/s, time=7063.558
acc_x=5.762m/s, acc_y=-13.590m/s, acc_z=3.168m/s, gyrv_x=56.761°/s, gyrv_y=-29.129°/s, gyrv_z=-112.044°/s, time=7063.605
acc_x=-18.579m/s, acc_y=6.102m/s, acc_z=9.380m/s, gyrv_x=-0.079°/s, gyrv_y=-12.819°/s, gyrv_z=19.862°/s, time=7063.658
acc_x=9.729m/s, acc_y=3.112m/s, acc_z=11.748m/s, gyrv_x=75.364°/s, gyrv_y=36.610°/s, gyrv_z=-37.389°/s, time=7063.711
acc_x=5.652m/s, acc_y=-1.507m/s, acc_z=7.504m/s, gyrv_x=47.110°/s, gyrv_y=-27.151°/s, gyrv_z=-110.171°/s, time=7063.763
acc_x=-4.110m/s, acc_y=-1.232m/s, acc_z=17.969m/s, gyrv_x=76.851°/s, gyrv_y=-57.435°/s, gyrv_z=-164.211°/s, time=7063.821
acc_x=-3.124m/s, acc_y=4.064m/s, acc_z=10.124m/s, gyrv_x=86.791°/s, gyrv_y=-75.127°/s, gyrv_z=-149.660°/s, time=7063.878
acc_x=-0.640m/s, acc_y=3.170m/s, acc_z=10.929m/s, gyrv_x=-24.780°/s, gyrv_y=32.375°/s, gyrv_z=-0.604°/s, time=7063.935
acc_x=-13.835m/s, acc_y=0.830m/s, acc_z=11.368m/s, gyrv_x=66.439°/s, gyrv_y=-31.211°/s, gyrv_z=-152.276°/s, time=7063.984
acc_x=-12.541m/s, acc_y=0.218m/s, acc_z=14.361m/s, gyrv_x=85.312°/s, gyrv_y=21.166°/s, gyrv_z=5.320°/s, time=7064.041
acc_x=9.052m/s, acc_y=2.704m/s, acc_z=7.207m/s, gyrv_x=-6.606°/s, gyrv_y=-68.556°/s, gyrv_z=-104.580°/s, time=7064.096
acc_x=2.728m/s, acc_y=-2.448m/s, acc_z=13.323m/s, gyrv_x=99.216°/s, gyrv_y=-23.275°/s, gyrv_z=-62.256°/s, time=7064.149
