t_sec,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,target_velocity_sps,vel_error,measured_vel_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,controller_saturation_flags,controller_fault_flags
54.982484,-0.2103746730231295,-19.484347013835436,33.40860117923486,-0.21037467302312948,-24.412450516894467,-19.484347013835436,-101.47191286087036,-0.755774550799925,-10.400109824291414,9.084237189544021,0.0,-188.94363769998122,194.960566306526,-0.0,-0.0,2.5010000000000003,0.0,2442,2442,0,0
54.984984,-0.2725224356960191,-28.349416489706716,-33.113196637992395,-0.2725224356960191,-33.02243306478843,-28.349416489706716,-244.68915462493896,-0.755774550799925,-6.443705100482685,21.90571138922403,0.0,-188.94363769998122,197.70233003679658,-0.0,-0.0,2.5,2.5,2442,2442,0,0
54.987484,-0.3504488882777562,-32.67622413130358,-39.487694197671175,-0.35044888827775617,-33.29368251497615,-32.67622413130358,-329.4752836227417,-0.755774550799925,-3.180062517794832,29.496161613508747,0.0,-188.94363769998122,177.18992976939273,-200.0,-200.0,2.5,0.0,2442,2442,0,0
54.989983,-0.43088218415353685,-33.349252534301804,-15.260336985276533,-0.4308821841535369,-33.354932390824985,-33.3492525343018,-364.02909755706787,-0.755774550799925,-0.7596731325234164,32.58957940177838,0.0,-188.94363769998122,167.8400070194832,-200.0,-200.0,2.499,2.499,2442,2442,0,0
54.992483,-0.5072271813022299,-31.292828956111702,-4.524640828093937,-0.5072271813022299,-30.126188935364745,-31.292828956111702,-359.19392108917236,-0.755774550799925,0.8638808930924617,32.15670984920416,0.0,-188.94363769998122,163.57455812213544,-200.0,-200.0,2.5,4.999,2442,2442,0,0
54.994951,-0.5749257454512704,-26.549219377645468,-9.422788667883655,-0.5749257454512704,-23.974951403688472,-26.549219377645468,-314.13424015045166,-0.755774550799925,1.5735382946490397,28.12275767229451,0.0,-188.94363769998122,129.27893436757526,-200.0,-200.0,2.468,2.467,2441,2441,0,0
54.997484,-0.6295112080271035,-20.700929433855556,-12.080811754637276,-0.6295112080271035,-17.928713659181636,-20.700929433855556,-249.54898357391357,-0.755774550799925,1.6398587608248876,22.340788194680442,0.0,-188.94363769998122,80.28584407350755,-400.0,-400.0,2.533,0.0,2440,2440,0,0
54.999984,-0.6656138491036964,-11.960500597530814,-20.698122525793405,-0.6656138491036964,-6.781236254692907,-11.960500597530814,-138.80115747451782,-0.755774550799925,0.4656255018883021,12.426126099419115,0.0,-188.94363769998122,58.367852322347886,-400.0,-400.0,2.5,2.5,2440,2440,0,0
55.002484,-0.6850843883706452,-5.052357680536285,-44.41727190250823,-0.6850843883706451,0.03499992905647952,-5.052357680536285,-211.79206371307373,-0.23347140928939156,13.908252834409172,18.960610514945454,0.0,-58.367852322347886,26.61212930957345,-200.0,-200.0,2.5,0.0,2438,2438,0,0
55.004984,-0.6879623283408959,1.078018385085959,-11.227587718774497,-0.687962328340896,4.847490174322414,1.078018385085959,-127.0959734916687,-0.23347140928939156,12.456241137170636,11.378222752084676,0.0,-58.367852322347886,12.133484413273512,-200.0,-200.0,2.5,2.5,2438,2438,0,0
55.007483,-0.6643736843813788,8.025418574911367,-22.93336747028602,-0.6643736843813788,8.128733523367368,8.025418574911367,-22.71430939435959,-0.23347140928939156,10.058909058847801,2.033490483936434,0.0,-58.367852322347886,5.533856405872621,-200.0,-200.0,2.499,4.999,2438,2438,0,0
