t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
0.422491,-0.11866021959781749,3.3477993792144893,-112.29979991912842,0.0,-133.49991784286246,-0.0,-0.0,0,0,2.5010000000000003,7.5,5384,5384
0.442491,-0.17371325812529018,10.54889640715387,-74.05604720115662,0.0,-128.6284448030262,-200.0,-200.0,0,0,2.5010000000000003,2.501,5381,5381
0.462491,0.038233351486392085,-1.5467386879980585,-173.76444339752197,0.0,-101.21700611684028,-0.0,-0.0,0,0,2.5010000000000003,2.501,5379,5379
0.482489,0.06537407639693735,17.479182805429733,149.43987131118774,0.0,-142.21069922238107,0.0,0.0,0,0,2.5010000000000003,2.501,5376,5376
0.502488,0.29715709121810285,-2.9193923672780713,-117.03605651855469,0.0,-32.723274591600195,-0.0,-0.0,0,0,2.499,2.5,5378,5378
0.522489,0.22731592227388903,1.1486177672403215,61.68047785758972,0.0,-18.67746057387935,0.0,0.0,0,0,2.5,0.001,5378,5378
0.542489,0.2584529967930989,-1.049771602497135,80.14678359031677,0.0,47.927747103619346,200.0,200.0,0,0,2.5,0.001,5379,5379
0.562488,0.19019571660079734,0.9855920248977258,144.2378282546997,0.0,38.90154453934899,200.0,200.0,0,0,2.5,0.0,5380,5380
0.582491,0.2282401470573065,-5.2268934623115975,71.71429991722107,0.0,88.85475846028719,200.0,200.0,0,0,2.5,0.003,5383,5383
0.600062,0.09107077850772087,-7.9535908175624135,68.3361828327179,0.0,115.57018049963375,0.0,0.0,0,0,2.57,5.072,5385,5385
0.62249,0.03204276709530061,-10.367260813646967,13.1770521402359,0.0,119.62405804046371,200.0,200.0,0,0,2.5,4.998,5387,5387
0.642504,-0.08710640016948376,4.201268677817505,152.30556726455688,0.0,70.95961723573542,0.0,0.0,0,0,2.5140000000000002,0.013,5388,5388
0.66249,-0.08566303594461473,-4.441773453823709,12.137837707996368,0.0,86.25420350053335,0.0,0.0,0,0,2.502,4.999,5390,5390
0.68251,-0.1733408408508613,-6.676507640690054,-68.40299963951111,0.0,59.86455330303555,-0.0,-0.0,0,0,2.522,0.005,5391,5391
0.702488,-0.18784121189336472,0.9242166300445963,33.1879585981369,0.0,55.04314686120354,0.0,0.0,0,0,2.5010000000000003,0.0,5391,5391
0.722489,-0.22434295958574732,-1.1324185875592716,-17.11588352918625,0.0,20.782397587938238,-0.0,-0.0,0,0,2.5010000000000003,4.998,5391,5391
0.742488,-0.23474603254610335,1.0620440269770652,-46.732887625694275,0.0,0.03882213173985315,-200.0,-200.0,0,0,2.5,4.997,5391,5391
0.762489,-0.2412437504868228,-2.9987008911742654,-129.68159914016724,0.0,-35.80011688435189,-0.0,-0.0,0,0,2.499,4.998,5389,5389
0.78249,-0.27431401776433906,2.689444109295342,-97.19303250312805,0.0,-75.65762639814378,-200.0,-200.0,0,0,2.5,4.999,5387,5387
0.80249,-0.1759230965433396,-1.1483978898168812,-203.46112251281738,0.0,-100.26680678954007,-200.0,-200.0,0,0,2.5,4.999,5385,5385
0.82249,-0.07867617798800836,8.616161857006317,-52.08906531333923,0.0,-139.5690919320334,-0.0,-0.0,0,0,2.4979999999999998,4.999,5381,5381
0.842536,-0.060907133572046405,5.011810357671013,-124.16762113571167,0.0,-131.39967864840122,-200.0,-200.0,0,0,2.5460000000000003,0.045,5378,5378
0.862491,0.2230539018760174,9.304186611504038,5.744905397295952,0.0,-119.30321371040093,200.0,200.0,0,0,2.5010000000000003,2.501,5377,5377
0.88249,0.2024401603219808,1.1868426678023345,-4.798529297113419,0.0,-57.598711710349,-0.0,-0.0,0,0,2.499,2.499,5377,5377
0.902489,0.2928837839999238,0.29026528924658207,37.104615569114685,0.0,-10.868065351608722,200.0,200.0,0,0,2.499,2.49,5377,5377
0.922491,0.2989646901255441,4.038188956304374,171.9469428062439,0.0,1.8026551943726614,0.0,0.0,0,0,2.5,0.001,5378,5378
0.942491,0.268219248420779,-6.74138894770164,27.55844295024872,0.0,64.9644709113294,0.0,0.0,0,0,2.5010000000000003,0.001,5381,5381
0.96249,0.2655618197642927,6.815481010213237,260.46128273010254,0.0,65.6952215572821,200.0,200.0,0,0,2.499,0.0,5382,5382
0.98249,0.1826494316555331,-9.056052300283516,107.60563611984253,0.0,147.38424593127874,0.0,0.0,0,0,2.5,2.5,5386,5386
1.002492,0.1147028690143193,-2.064716636119527,157.51049518585205,0.0,131.01018333552938,200.0,200.0,0,0,2.502,0.002,5388,5388
1.02249,-0.0976506327628233,-9.227107651564555,-8.911676704883575,0.0,137.12080404044713,-0.0,-0.0,0,0,2.499,0.001,5390,5390
1.042493,-0.07798892549854239,-0.43450816966429645,141.08632802963257,0.0,91.36980949755343,200.0,200.0,0,0,2.4979999999999998,2.503,5391,5391
1.062492,-0.22030736149981175,-3.2919932590309315,-0.5605054087936878,0.0,84.90534237081258,-0.0,-0.0,0,0,2.4979999999999998,4.995,5393,5393
1.082495,-0.1979486837923719,-0.634055149322283,35.45689284801483,0.0,59.476764869960746,0.0,0.0,0,0,2.503,2.504,5393,5393
1.102492,-0.23889923143513264,0.12772550512333566,1.4730699360370636,0.0,6.206054032056512,0.0,0.0,0,0,2.4979999999999998,2.5,5393,5393
1.12249,-0.26984443364468486,-4.821247889188493,-143.95058155059814,0.0,0.011596734649402718,-200.0,-200.0,0,0,2.497,2.496,5393,5393
1.142492,-0.2698522512803448,1.3880144416695408,-65.01285433769226,0.0,-50.61457907229603,-0.0,-0.0,0,0,2.499,2.498,5390,5390
1.162491,-0.2963252375656652,-2.232289412559565,-193.55961084365845,0.0,-86.988789382843,-200.0,-200.0,0,0,2.4979999999999998,2.497,5388,5388
1.182492,-0.2246578578484101,0.6946790643095055,-191.87942743301392,0.0,-121.43991985557044,-200.0,-200.0,0,0,2.4979999999999998,2.498,5385,5385
1.202492,-0.10687722833312907,8.530246469557534,-65.27062654495239,0.0,-154.05095273697705,-0.0,-0.0,0,0,2.497,2.498,5382,5382
