t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
1.12249,0.9214079131014348,26.804869371529108,2859.4131469726562,0.0,2524.654913060163,2800.0,2800.0,3,0,2.5,4.997,2152,2152
1.142489,1.557409518336098,14.2082082479734,2718.707275390625,0.0,2641.4695072759027,3000.0,3000.0,3,0,2.499,4.996,2211,2211
1.16249,1.761677151416625,17.969544535407675,2760.721778869629,0.0,2853.9397879631215,2600.0,2600.0,3,0,2.5,4.997,2267,2267
1.182491,2.0470585276875037,8.045819573182404,2649.8727798461914,0.0,2768.6978135226177,2800.0,2800.0,3,0,2.502,4.998,2319,2319
1.202498,1.8645436363685302,-3.614050162360051,2519.630813598633,0.0,2628.4398561417856,2600.0,2600.0,3,0,2.509,0.005,2383,2383
1.22249,1.9106539568717842,-2.372430983015424,2533.4997177124023,0.0,2596.074124315165,2600.0,2600.0,3,0,2.5,4.997,2422,2422
1.24249,2.1043148771655296,14.30626617779049,2719.802665710449,0.0,2525.916165764187,2800.0,2800.0,3,0,2.5,4.997,2473,2473
1.26249,3.0260223304939187,39.615295943889365,3002.5070190429688,0.0,2685.2289082925645,2800.0,2800.0,3,0,2.5010000000000003,4.997,2531,2531
1.28249,4.3085971263424145,57.20474705579171,3198.9831924438477,0.0,2919.987751277382,3400.0,3400.0,3,0,2.496,4.997,2595,2595
1.30249,5.418848838592295,57.104433200965644,3197.8626251220703,0.0,3169.19036469273,3200.0,3200.0,3,0,2.5010000000000003,4.997,2660,2660
1.32249,6.2495023438814785,16.77100569909668,2747.334098815918,0.0,3206.6734776345047,3200.0,3200.0,3,0,2.5010000000000003,4.997,2722,2722
1.342492,6.1056538429815514,-39.741736674156854,2116.080665588379,0.0,3032.308187238017,2400.0,2400.0,3,0,2.5,4.999,2779,2779
1.36249,5.505832508677595,-6.972015962460733,2482.1218490600586,0.0,2666.1834478385745,2200.0,2200.0,3,0,2.5010000000000003,4.997,2823,2823
1.38249,5.546616580055809,11.84977522312524,2692.3633575439453,0.0,2408.2134892640806,2400.0,2400.0,3,0,2.5010000000000003,4.997,2872,2872
1.402491,6.6172352774619165,47.15739841922653,3086.753273010254,0.0,2516.671877795027,3400.0,3400.0,2,0,2.5,4.998,2929,2929
1.42249,7.693457389341884,39.971668296712494,3006.4878463745117,0.0,2902.0391987160665,3200.0,3200.0,3,0,2.5,4.997,2993,2993
1.442489,8.356538094484803,26.23323442098845,2853.02791595459,0.0,3113.38984177853,3000.0,3000.0,3,0,2.499,4.996,3054,3054
1.462489,9.02279226364887,32.8840736917755,2927.31876373291,0.0,3042.076313252565,2800.0,2800.0,3,0,2.4979999999999998,4.996,3113,3113
1.48249,9.639396301688187,-8.075114237475004,2469.8001861572266,0.0,2945.1823110834334,3000.0,3000.0,3,0,2.5,4.997,3172,3172
1.502489,9.504971932500672,-1.122362266649863,2547.463035583496,0.0,2831.2460496488707,2400.0,2400.0,3,0,2.4979999999999998,4.996,3224,3224
1.522489,9.50368640158416,9.179649252915768,2662.5375747680664,0.0,2669.677564612409,2400.0,2400.0,3,0,2.4979999999999998,4.996,3275,3275
1.542489,9.943579210289352,15.50242245571531,2733.163833618164,0.0,2561.076611027242,2800.0,2800.0,3,0,2.4979999999999998,4.996,3328,3328
