t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
0.30249,0.059397636032951194,-3.335848565235124,-48.13697338104248,0.0,2.6908529941602106,-0.0,-0.0,0,0,2.502,2.501,5292,5292
0.320023,-0.019886351019441764,-0.8711030826631884,6.21110275387764,0.0,-6.937196606648466,0.0,0.0,0,0,2.533,0.034,5291,5291
0.34249,-0.03753695979021109,-7.426369740390519,-140.28829336166382,0.0,-19.98244295172665,-0.0,-0.0,0,0,2.521,2.5,5291,5291
0.362514,-0.10352627466590272,5.32713038673555,3.450040891766548,0.0,-53.981498169663176,0.0,0.0,0,0,2.524,2.524,5289,5289
0.382489,-0.136999130420733,-9.230285394634347,-220.56267261505127,0.0,-38.537721729674175,-200.0,-200.0,0,0,2.5,0.001,5289,5289
0.402488,-0.0397099132070097,11.715686485636327,102.3267388343811,0.0,-89.74364489699194,0.0,0.0,0,0,2.497,2.499,5286,5286
0.422487,-0.12084366273573162,-8.195045441641101,-264.49382305145264,0.0,-53.0215992140626,-200.0,-200.0,0,0,2.5010000000000003,2.5,5286,5286
0.442486,0.1160044648589846,15.1608515013704,181.6345453262329,0.0,-103.53171796478371,200.0,200.0,0,0,2.4979999999999998,2.492,5283,5283
0.462488,0.0064428405409196025,-12.269096499338207,-293.16492080688477,0.0,-35.79470770082324,-200.0,-200.0,0,0,2.5,4.999,5284,5284
0.482487,0.04156345215886199,12.647431854853375,130.2884578704834,0.0,-92.55037819774272,0.0,0.0,0,0,2.499,0.003,5279,5279
0.502508,-0.011007537922809929,-14.307735034030388,-302.8006076812744,0.0,-69.20363038822539,-200.0,-200.0,0,0,2.519,2.521,5280,5280
0.522489,-0.02706895211545796,14.90101545073386,87.24471926689148,0.0,-120.31303866638862,0.0,0.0,0,0,2.5,0.0,5274,5274
0.542488,0.11965988797532062,-9.729206883164471,-228.7572145462036,0.0,-90.25248894487457,-0.0,-0.0,0,0,2.5,2.499,5275,5275
0.562488,-0.011309573992125394,10.713693325921737,7.996435463428497,0.0,-130.56347807346106,0.0,0.0,0,0,2.535,2.499,5271,5271
0.582467,0.07323570294790743,-12.095698734782403,-256.9814443588257,0.0,-66.42477207743883,-0.0,-0.0,0,0,2.478,2.465,5271,5271
0.60249,0.003752229673587957,19.43495489413691,153.67387533187866,0.0,-135.73309275982174,0.0,0.0,0,0,2.5010000000000003,2.501,5267,5267
0.622489,0.13789482143984233,-13.714504519036042,-225.54068565368652,0.0,-58.08713500220649,-0.0,-0.0,0,0,2.5,2.5,5268,5268
0.642492,-0.09402570391106553,4.7017229997822705,-71.2946355342865,0.0,-104.3111101102108,-400.0,-400.0,0,0,2.503,2.503,5265,5265
0.662488,-0.003942643819589494,-11.65619284483806,-261.47239208221436,0.0,-77.74843229061072,-0.0,-0.0,0,0,2.499,2.491,5263,5263
0.682488,-0.2468752418944543,7.110974139443242,-166.33659601211548,0.0,-166.57650739037425,-400.0,-400.0,0,0,2.499,2.491,5258,5258
