received_at_unix_s,received_at_monotonic_s,run_id,seed,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,command_saturated,actuator_fault,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,plant_pitch_deg,plant_pitch_rate_dps,plant_position_m,plant_velocity_mps,target_wheel_velocity,actual_wheel_velocity,plant_velocity_error,f_cmd,f_app,external_force_n,external_com_bias_rad,x_ddot,theta_ddot,force_saturated,phase_error_steps,missed_steps,traction_limit_n,motor_force_limit_n,total_mass_scale,pitch_inertia_scale,motor_max_force_n,motor_no_load_speed_mps,motor_velocity_damping,motor_tau_s,traction_coefficient,pitch_damping,cart_damping,phase_error_limit_steps,tire_stiffness_n_per_m,tire_damping_n_s_per_m,wheel_equivalent_mass_kg
1784671583.6380804,314750.5317186,0,0,8,0,0,51.250003,0.5860000000000001,55.377881128925054,185.17714548858584,170.66906501811368,55.377881128925054,185.57837383971847,185.17714548858584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.377881128925054,0.0,0.0,-185.17714548858584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55.377881128925054,185.17714548858584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.63818,314750.5318217,0,0,8,0,0,51.252521,0.696,55.82768896123197,185.9812445742982,170.4408041206122,55.82768896123197,186.2083725627352,185.98124457429816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.82768896123197,0.0,0.0,-185.9812445742982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,55.82768896123197,185.9812445742982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6382658,314750.5319075,0,0,8,0,0,51.255003,0.786,56.27583197777546,186.5910257479017,169.94879115929422,56.27583197777546,186.91712112612888,186.5910257479017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.27583197777546,0.0,0.0,-186.5910257479017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,56.27583197777546,186.5910257479017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6383345,314750.5319757,0,0,8,0,0,51.257503,0.8720000000000001,56.72926156047636,186.94801952879803,171.40525766066483,56.72926156047636,187.04837086009067,186.94801952879803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.72926156047636,0.0,0.0,-186.94801952879803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,56.72926156047636,186.94801952879803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.638397,314750.5320383,0,0,8,0,0,51.260001,0.98,57.179059482317584,187.39910179029704,172.01213445214856,57.179059482317584,187.65211963631492,187.39910179029704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.179059482317584,0.0,0.0,-187.39910179029704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,57.179059482317584,187.39910179029704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.638689,314750.5323297,0,0,8,0,0,51.262504,1.078,57.63267869921815,187.81343930858412,172.49563809339966,57.63267869921815,188.06336880272855,187.81343930858412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.63267869921815,0.0,0.0,-187.81343930858412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,57.63267869921815,187.81343930858412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6480029,314750.5416412,0,0,8,0,0,51.265007,1.185,58.08512460594896,187.87168933103848,171.62186551768752,58.08512460594896,187.8358692638615,187.87168933103848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.08512460594896,0.0,0.0,-187.87168933103848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,58.08512460594896,187.87168933103848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.648641,314750.5422803,0,0,8,0,0,51.267503,0.072,58.76688546807766,188.15376926103087,176.5619650470726,58.76688546807766,188.29961832385985,188.15376926103087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.76688546807766,0.0,0.0,-188.15376926103087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,58.76688546807766,188.15376926103087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6493633,314750.5430041,0,0,8,0,0,51.270002,0.17,59.22016697596515,187.59662392513712,172.47354133366272,59.22016697596515,187.15337064726012,187.59662392513715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.22016697596515,0.0,0.0,-187.59662392513712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,59.22016697596515,187.59662392513712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6496246,314750.5432641,0,0,8,0,0,51.272503,0.268,59.66912555139817,185.1520076973597,170.3667897635451,59.66912555139817,183.8458773514228,185.1520076973597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59.66912555139817,0.0,0.0,-185.1520076973597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,59.66912555139817,185.1520076973597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.650652,314750.5442926,0,0,8,0,0,51.275004,0.37,60.11007274421264,182.1805013802846,174.3080769324378,60.11007274421264,180.96713318652735,182.18050138028465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.11007274421264,0.0,0.0,-182.1805013802846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60.11007274421264,182.1805013802846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.653537,314750.5471766,0,0,8,0,0,51.277502,0.472,60.54338577117691,178.8982742134411,175.37222876070916,60.54338577117691,177.09964102578635,178.89827421344108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.54338577117691,0.0,0.0,-178.8982742134411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60.54338577117691,178.8982742134411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6560378,314750.549679,0,0,8,0,0,51.280001,0.5640000000000001,60.97244796090286,176.68104980523475,171.94917190591275,60.97244796090286,175.55964414730127,176.68104980523475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.97244796090286,0.0,0.0,-176.68104980523475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,60.97244796090286,176.68104980523475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6583583,314750.5519965,0,0,8,0,0,51.282504,0.673,61.39034167845095,172.1065025099118,171.60085492928192,61.39034167845095,169.37340668656853,172.1065025099118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.39034167845095,0.0,0.0,-172.1065025099118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,61.39034167845095,172.1065025099118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1784671583.6629438,314750.5565791,0,0,8,0,0,51.285004,0.7739999999999999,61.79609269360117,166.9686754688879,171.62378831319617,61.79609269360117,164.7884159801697,166.9686754688879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.79609269360117,0.0,0.0,-166.9686754688879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,61.79609269360117,166.9686754688879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
