frame,video_time_s,video_pts,act_mean,act_max,act_p95,laser_x_px,laser_y_px,laser_integrated_brightness,laser_peak_brightness,laser_width_px,laser_confidence,laser_note
29,0.965222222,86870,42.208333300,115,103.700000000,666.926208000,467.926138000,403689.005000000,207.327000000,56.287576400,1.000000000,saturated
30,0.998555556,89870,42.125000000,105,87.850000000,666.641573000,468.136105000,426172.997000000,206.284000000,57.075047800,1.000000000,saturated
31,1.031888890,92870,41.750000000,108,91.400000000,666.661525000,468.114153000,425373.797000000,205.583000000,57.033689200,1.000000000,saturated
32,1.064755560,95828,41.916666700,112,96.500000000,666.775006000,468.114087000,424106.597000000,205.583000000,56.967009000,1.000000000,saturated
33,1.098088890,98828,42.000000000,114,100.200000000,666.723085000,468.129790000,422489.197000000,205.583000000,56.923708800,1.000000000,saturated
34,1.131422220,101828,42.083333300,114,100.050000000,666.636052000,468.107668000,428327.603000000,206.039000000,57.085707100,1.000000000,saturated
35,1.164755560,104828,41.875000000,116,100.350000000,666.542167000,468.075706000,439448.000000000,207.686000000,57.467019200,1.000000000,saturated
36,1.198088890,107828,42.250000000,114,98.650000000,666.615277000,468.078280000,436931.580000000,207.572000000,57.378814400,1.000000000,saturated
37,1.231422220,110828,43.208333300,110,97.950000000,666.431822000,468.087264000,442266.000000000,207.572000000,57.612484400,1.000000000,saturated
38,1.264755560,113828,43.791666700,110,97.950000000,666.437781000,468.144096000,437305.980000000,207.572000000,57.444150900,1.000000000,saturated
39,1.298088890,116828,42.916666700,110,96.950000000,666.467303000,468.163131000,437181.180000000,207.572000000,57.474087500,1.000000000,saturated
40,1.330944440,119785,42.375000000,115,105.600000000,666.607060000,468.218739000,431787.380000000,206.985000000,57.200369300,1.000000000,saturated
41,1.364277780,122785,42.416666700,115,105.600000000,666.572819000,467.984273000,437050.803000000,208.273000000,57.245277000,1.000000000,saturated
42,1.397611110,125785,41.000000000,112,103.300000000,666.779955000,467.822609000,428138.581000000,207.686000000,56.790068800,1.000000000,saturated
43,1.430944440,128785,40.875000000,112,104.150000000,666.883920000,467.837494000,423907.203000000,207.914000000,56.656693000,1.000000000,saturated
44,1.464277780,131785,40.833333300,112,102.450000000,666.863987000,467.928051000,425220.381000000,207.572000000,56.798546400,1.000000000,saturated
45,1.497611110,134785,40.666666700,109,97.250000000,666.846950000,467.798482000,429892.000000000,207.914000000,57.055729200,1.000000000,saturated
46,1.530944440,137785,40.666666700,107,95.250000000,666.784885000,467.767703000,430672.000000000,207.572000000,57.051871200,1.000000000,saturated
